species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Praeorbulina curva,16.29,15,Datum B Praeorbulina curva of Raffi et al. (2020) = 16.29,Kennett and Srinivasan (1983) = 15.00,Trilobatus sicanus,4,Kennett and Srinivasan (1983),1,Pearson et al. (1997a),Macro
Praeorbulina glomerosa,16.27,14.78,Datum B Praeorbulina glomerosa (sensu stricto) of Raffi et al. (2020) = 16.27,Datum T Praeorbulina glomerosa (sensu stricto) of TimeScale Creator (2020) = 14.78,Praeorbulina curva,4,Kennett and Srinivasan (1983),1,Pearson et al. (1997a),Macro
Protentella nicobarensis,29.17,4.01,Kennett and Srinivasan (1983) = 29.17,Kennett and Srinivasan (1983) = 4.01,Protentella prolixa,5,Kennett and Srinivasan (1983),6,No data,Macro
Protentella prolixa,29.18,11.64,No data = 29.18,Kennett and Srinivasan (1983) = 11.64,Globigerinella obesa,6,Kennett and Srinivasan (1983),6,No data,Macro
Protentelloides dalhousiei,24.59,21.73,Coxall and Spezzaferri (2018) = 24.59,Coxall and Spezzaferri (2018) = 21.73,Protentelloides primitivus,6,Zhang and Scott (1995),4,"Coxall and Spezzaferri (2018), S. Spezzaferri and H. K. Coxall unpublished data",Macro
Protentelloides primitivus,24.96,21.73,Coxall and Spezzaferri (2018) = 24.96,Coxall and Spezzaferri (2018) = 21.73,Globorotaloides atlanticus,6,Zhang and Scott (1995),6,No data,Macro
Pseudoglobigerinella bolivariana,47.95,42.76,Olsson et al. (2006a) = 47.95,Olsson et al. (2006a) = 42.76,Parasubbotina griffinae,6,Olsson et al. (2006a),6,Pearson et al. (2006b),Macro
Pseudohastigerina micra,49.48,32.94,Datum B Pseudohastigerina micra of Luciani and Giusberti (2014) = 49.48,Pearson et al. (2018a) = 33.57. Last recorded occurence date extension Pearson et al. (2018a) = 32.94,Pseudohastigerina wilcoxensis,9,Olsson and Hemleben (2006),2,"Poore and Matthews (1984), Boersma et al. (1987), Pearson et al. (2001a)",Macro
Pseudohastigerina naguewichiensis,36.31,32.1,Pearson et al. (2018a) = 36.31,Datum T Pseudohastigerina naguewichiensis of TimeScale Creator (2020) = 32.10,Pseudohastigerina micra,9,Olsson and Hemleben (2006),2,Wade and Pearson (2008),Macro
Pseudohastigerina sharkriverensis,47.85,39.32,Olsson and Hemleben (2006) = 47.85,Olsson and Hemleben (2006) = 39.32,Pseudohastigerina wilcoxensis,9,Olsson and Hemleben (2006),2,No data,Macro
Pseudohastigerina wilcoxensis,55.85,42.96,Datum B Pseudohastigerina wilcoxensis of TimeScale Creator (2020) = 55.85,Olsson and Hemleben (2006) = 42.96,Globanomalina luxorensis,9,Olsson and Hemleben (2006),2,No data,Macro
Pulleniatina finalis,2.04,Living,Datum B Pulleniatina finalis of Raffi et al. (2020) = 2.04,Chaisson and Pearson (1997) = 0.00,Pulleniatina obliquiloculata,7,Bolli and Saunders (1985),3,No data,Macro
Pulleniatina obliquiloculata,4.51,Living,Pearson and Penny (2021) = 4.51,Chaisson and Pearson (1997) = 0.00,Pulleniatina praecursor,7,Kennett and Srinivasan (1983),"2,3","Shackleton and Vincent (1978), Pearson and Shackleton (1995), Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al (2021)",Macro
Pulleniatina praecursor,4.8,2.52,Pearson and Penny (2021) = 4.80,Pearson and Penny (2021) = 2.52,Pulleniatina primalis,7,Kennett and Srinivasan (1983),3,No data,Macro
Pulleniatina praespectabilis,5.81,4.21,Pearson and Penny (2021) = 5.81,Pearson and Penny (2021) = 4.21,Pulleniatina primalis,7,Bolli and Saunders (1985),3,No data,Macro
Pulleniatina primalis,6.57,3.66,Datum B Pulleniatina primalis of Raffi et al. (2020) = 6.57,Datum T Pulleniatina primalis [Pac] of Raffi et al. (2020) = 3.66,Neogloboquadrina acostaensis,7,Kennett and Srinivasan (1983),3,No data,Macro
Pulleniatina spectabilis,5.24,4.21,Pearson and Penny (2021) = 5.24,Datum T Pulleniatina spectabilis [Pac] of Raffi et al. (2020) = 4.21,Pulleniatina praespectabilis,8,Kennett and Srinivasan (1983),3,No data,Macro
Quiltyella clavacella,28.24,16.56,Spezzaferri et al. (2018a) = 28.24,Spezzaferri et al. (2018a) = 16.56,Globigerinella roeglina,2,Spezzaferri et al. (2018a),4,No data,Macro
Quiltyella nazcaensis,25.2,21.52,Spezzaferri et al. (2018a) = 25.20,Spezzaferri et al. (2018a) = 21.52,Quiltyella clavacella,2,Spezzaferri et al. (2018a),4,No data,Macro
Sphaeroidinella dehiscens,5.53,Living,Datum B Sphaeroidinella dehiscens (sensu lato) of Raffi et al. (2020) = 5.53,Chaisson and Pearson (1997) = 0.00,Sphaeroidinellopsis paenedehiscens,7,Kennett and Srinivasan (1983),"1,3","Shackleton and Vincent (1978), Schiebel and Hemleben (2017)",Macro
