species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Acarinina africana,56,55.85,Datum B Acarinina sibaiyaensis of TimeScale Creator (2020) = 56.00,Datum B Pseudohastigerina wilcoxensis of TimeScale Creator (2020) = 55.85,Acarinina sibaiyaensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina alticonica,53.68,46.92,Berggren et al. (2006a) = 53.68,Berggren et al. (2006a) = 46.92,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina angulosa,56.61,46.36,Berggren et al. (2006a) = 56.61,Berggren et al. (2006a) = 46.36,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina aspensis,50.38,48.54,Berggren et al. (2006a) = 50.38,Berggren et al. (2006a) = 48.54,Acarinina pentacamerata,17,Berggren et al. (2006a),1,No data,Macro
Acarinina boudreauxi,50.55,43.36,First recorded occurence date extension Luciani and Giusberti (2014) = 50.55. Berggren et al. (2006a) = 49.75,Berggren et al. (2006a) = 43.36,Acarinina pseudotopilensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina bullbrooki,50.55,40.4,Datum B Acarinina bullbrooki of Luciani & Giusberti (2014) = 50.55,Datum T Acarinina bullbrooki of TimeScale Creator (2020) = 40.40,Acarinina boudreauxi,17,Berggren et al. (2006a),1,"Boersma (1984), Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina coalingensis,57.79,43.8,Datum B Acarinina coalingensis of TimeScale Creator (2020) = 57.79,Berggren et al. (2006a) = 50.07. Last recorded occurence date extension Fayolle and Wade (2021) = 43.80,Acarinina nitida,17,Olsson et al. (1999),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina collactea,52.4,23.41,Datum B Acarinina collactea of Luciani and Giusberti (2014) = 52.40,Wade and Hernitz Kucenjak (2018) = 23.41,Acarinina pentacamerata,17,Berggren et al. (2006a),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina cuneicamerata,51.7,43.69,Datum B Acarinina cuneicamerata of Luciani and Giusberti (2014) = 51.70,Berggren et al. (2006a) = 43.69,Acarinina angulosa,17,Berggren et al. (2006a),1,"Boersma et al. (1987), Pearson et al. (2001a)",Macro
Acarinina echinata,42.86,28.56,Berggren et al. (2006a) = 42.86,Wade and Hernitz Kucenjak (2018) = 28.56,Acarinina pseudosubsphaerica,17,Berggren et al. (2006a),1,No data,Macro
Acarinina esnaensis,57.66,51.2,"Datum T Acarinina nitida [including ""A. acarinata""] of TimeScale Creator (2020) = 57.66",Berggren et al. (2006a) = 51.20,Acarinina nitida,17,Berggren et al. (2006a),1,No data,Macro
Acarinina esnehensis,56.85,50.38,Berggren et al. (2006a) = 56.85,Berggren et al. (2006a) = 50.38,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina interposita,54.58,50.38,Berggren et al. (2006a) = 54.58,Berggren et al. (2006a) = 50.38,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina mcgowrani,50.44,38,Datum B Acarinina mcgowrani of Luciani and Giusberti (2014) = 50.44,Datum T Acarinina mcgowrani of TimeScale Creator (2020) = 38.00,Acarinina pseudotopilensis,17,Berggren et al. (2006a),1,"Pearson et al. (1993), Wade and Kroon (2002), Wade (2004)",Macro
Acarinina mckannai,60.51,57.66,Datum B Acarinina mckannai of Huber and Quillévéré (2005) = 60.51,Datum T Acarinina mckannai of TimeScale Creator (2020) = 57.66,Acarinina subsphaerica,17,Olsson et al. (1999),1,Shackleton et al. (1985a),Macro
Acarinina medizzai,42.16,28.2,Berggren et al. (2006a) = 42.16,Wade and Hernitz Kucenjak (2018) = 28.20,Acarinina collactea,17,Berggren et al. (2006a),1,Sexton et al. (2006),Macro
Acarinina nitida,60.54,57.66,"Datum B Acarinina nitida [including ""A. acarinata""] of TimeScale Creator (2020) = 60.54","Datum T Acarinina nitida [including ""A. acarinata""] of TimeScale Creator (2020) = 57.66",Acarinina strabocella,17,Olsson et al. (1999),1,D’Hondt et al. (1994),Macro
Acarinina pentacamerata,52.56,46.92,Datum B Acarinina pentacamerata of Luciani and Giusberti (2014) = 52.56,Berggren et al. (2006a) = 46.92,Acarinina interposita,17,Berggren et al. (2006a),1,No data,Macro
Acarinina praetopilensis,50.44,39.97,Datum B Acarinina praetopilensis of Luciani and Giusberti (2014) = 50.44,Berggren et al. (2006a) = 39.97,Acarinina mcgowrani,17,Berggren et al. (2006a),1,"Boersma et al. (1987), Pearson et al. (1993)",Macro
Acarinina primitiva,52.63,38.99,Datum B Acarinina primitiva of Luciani and Giusberti (2014) = 52.63,Datum T Acarinina primitiva of TimeScale Creator (2020) = 38.99,Acarinina coalingensis,17,Berggren et al. (2006a),2,Edgar et al. (2013),Macro
Acarinina pseudosubsphaerica,50.38,41.96,Berggren et al. (2006a) = 50.38,Berggren et al. (2006a) = 41.96,Acarinina alticonica,17,Berggren et al. (2006a),1,Pearson et al. (1993),Macro
Acarinina pseudotopilensis,56.13,47.15,Berggren et al. (2006a) = 56.13,Berggren et al. (2006a) = 47.15,Acarinina wilcoxensis,17,Berggren et al. (2006a),1,Boersma et al. (1987),Macro
Acarinina punctocarinata,49.23,40.39,Datum B Acarinina punctocarinata of Luciani and Giusberti (2014) = 49.23,Berggren et al. (2006a) = 40.39,Acarinina boudreauxi,17,Berggren et al. (2006a),1,No data,Macro
Acarinina quetra,54.58,50.38,Berggren et al. (2006a) = 54.58,Berggren et al. (2006a) = 50.38,Acarinina pseudotopilensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina rohri,42.46,38.17,Berggren et al. (2006a) = 42.46,Berggren et al. (2006a) = 38.17,Acarinina topilensis,17,Berggren et al. (2006a),1,Edgar et al. (2017),Macro
Acarinina sibaiyaensis,56,55.85,Datum B Acarinina sibaiyaensis of TimeScale Creator (2020) = 56.00,Datum B Pseudohastigerina wilcoxensis of TimeScale Creator (2020) = 55.85,Acarinina esnehensis,17,Berggren et al. (2006a),1,Kelly et al. (1998),Macro
Acarinina soldadoensis,57.79,48.84,Datum B Acarinina soldadoensis of TimeScale Creator (2020) = 57.79,Berggren et al. (2006a) = 48.84,Acarinina mckannai,17,Olsson et al. (1999),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina strabocella,61.95,60.14,Datum B Acarinina strabocella of Berggren et al. (2000) = 61.95,Olsson et al. (1999) = 60.14,Morozovella praeangulata,17,Olsson et al. (1999),1,Quillévéré et al. (2001),Macro
Acarinina subsphaerica,60.54,54.78,Datum B Acarinina subsphaerica of TimeScale Creator (2020) = 60.54,Datum Tc Acarinina subsphaerica of TimeScale Creator (2020) = 58.44. Last recorded occurence date extension Berggren et al. (2006b) = 54.78,Acarinina nitida,17,Olsson et al. (1999),1,Quillévéré et al. (2001),Macro
Acarinina topilensis,42.86,40.22,Berggren et al. (2006a) = 42.86,Berggren et al. (2006a) = 40.22,Acarinina praetopilensis,17,Berggren et al. (2006a),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina wilcoxensis,56.61,50.93,Berggren et al. (2006a) = 56.61,Berggren et al. (2006a) = 50.93,Acarinina esnaensis,17,Berggren et al. (2006a),1,No data,Macro
Alicantina lozanoi,52.46,42.66,First recorded occurence date extension Soldan et al. (2018) = 52.46.Berggren et al. (2006b) = 51.07,Berggren et al. (2006b) = 42.66,Alicantina prolata,7,Berggren et al. (2006b),2,Pearson et al. (2001a),Macro
Alicantina prolata,54.54,44.01,Soldan et al. (2018) = 54.54,Soldan et al. (2018) = 44.01,Parasubbotina varianta,7,Soldan et al. (2018),2,No data,Macro
Astrorotalia palmerae,50.4,47.43,Datum B Astrorotalia palmerae of TimeScale Creator (2020) = 50.40,Berggren et al. (2006b) = 47.43,Planorotalites pseudoscitula,11,Berggren et al. (2006b),1,No data,Macro
Beella digitata,5.02,Living,NEPTUNE = 5.02,Kennett and Srinivasan (1983) = 0.00,Beella praedigitata,5,Kennett and Srinivasan (1983),"2,4,6","Coxall et al. (2007), Schiebel and Hemleben (2017), Lamyman et al (In prep.)",Macro
Beella megastoma,0.3,Living,Bäckström et al. (2001) = 0.30,Bäckström et al. (2001) = 0.00,Beella digitata,5,Holmes (1984),4,No data,Macro
Beella praedigitata,12.55,0.8,Chaisson and Pearson (1997) = 12.55,Chaisson and Pearson (1997) = 0.80,Globigerinella siphonifera,5,Kennett and Srinivasan (1983),4,No data,Macro
Berggrenia praepumilio,3.91,0.01,Fordham (1986) = 3.91,Rio et al. (1984) = 0.01,Berggrenia pumilio,13,"Parker, 1967",3,No data,Macro
Berggrenia primoripumilio,12.71,5.92,Fordham (1986) = 12.71,Fordham (1986) = 5.92,Turborotalita quinqueloba,13,Fordham (1986),3,No data,Macro
Berggrenia pumilio,10.54,Living,Ibaraki (1990) = 10.54,Parker (1962) = 0.00,Berggrenia primoripumilio,13,"Parker, 1962",3,Rebotim et al. (2017),Macro
Catapsydrax africanus,39,34.67,Olsson et al. (2006a) = 39.00,Olsson et al. (2006a) = 34.67,Catapsydrax howei,2,Olsson et al. (2006a),4,Keller (1985),Macro
Catapsydrax dissimilis,39,17.54,Coxall and Spezzaferri (2018) = 39.00,Datum T Catapsydrax dissimilis of Raffi et al. (2020) = 17.54,Catapsydrax unicavus,2,Kennett and Srinivasan (1983),3,Stewart et al. (2012),Macro
Catapsydrax globiformis,40.3,34.67,Olsson et al. (2006a) = 40.30,Olsson et al. (2006a) = 34.67,Catapsydrax unicavus,4,Olsson et al. (2006a),4,Keller (1985),Macro
Catapsydrax howei,44.08,33.94,Olsson et al. (2006a) = 44.08,Olsson et al. (2006a) = 33.94,Catapsydrax unicavus,2,Olsson et al. (2006a),4,Keller (1985),Macro
Catapsydrax indianus,26.12,20.26,Coxall and Spezzaferri (2018) = 26.12,Coxall and Spezzaferri (2018) = 20.26,Catapsydrax dissimilis,2,Coxall and Spezzaferri (2018),4,Spezzaferri and Pearson (2009),Macro
Catapsydrax unicavus,55.61,7.45,Olsson et al. (2006a) = 55.61,"Datum T Catapsydrax unicavus [including ""C. parvulus"" of Kennett and Srinivasan, 1983] of TimeScale Creator (2020) = 7.45",Globorotaloides quadrocameratus,2,Olsson et al. (2006a),4,"Poore and Matthews (1984), Pearson et al. (2001a)",Macro
Ciperoella anguliofficinalis,35.3,15.51,Olsson et al. (2018) = 35.30,Olsson et al. (2018) = 15.51,Globoturborotalita gnaucki,2,Olsson et al. (2006b),2,Douglas and Savin (1978),Macro
Ciperoella angulisuturalis,29.18,20.99,Datum B Ciperoella angulisuturalis of TimeScale Creator (2020) = 29.18,Datum T Ciperoella angulisuturalis of Raffi et al. (2020) = 20.99,Ciperoella anguliofficinalis,2,Kennett and Srinivasan (1983),1,Poore and Matthews (1984),Macro
Ciperoella ciperoensis,29.84,22.9,Olsson et al. (2018) = 29.84,Datum T Ciperoella ciperoensis of Raffi et al. (2020) = 22.90,Ciperoella anguliofficinalis,2,Kennett and Srinivasan (1983),2,D. R. M. Stewart unpublished data,Macro
Ciperoella fariasi,29.5,21.6,Olsson et al. (2018) = 29.50,Olsson et al. (2018) = 21.60,Ciperoella ciperoensis,2,Olsson et al. (2018),1,No data,Macro
Clavatorella bermudezi,14.63,13.86,Datum B Clavatorella bermudezi of Raffi et al. (2020) = 14.63,Datum T Clavatorella bermudezi (regular) of Raffi et al. (2020) = 13.86,Globorotaloides hexagonus,5,Kennett and Srinivasan (1983),4,"Pearson and Shackleton (1995), Coxall et al. (2000)",Macro
Clavigerinella akersi,47.12,42.36,First recorded occurence date extension Coxall and Pearson (2006) = 47.12. Coxall and Pearson (2006) = 45.95,Coxall and Pearson (2006) = 44.01. Last recorded occurence date extension Coxall and Pearson (2006) = 42.36,Clavigerinella eocanica,6,Coxall and Pearson (2006),4,"Coxall et al. (2000), Coxall et al. (2007)",Macro
Clavigerinella caucasica,44.36,44.19,Coxall and Pearson (2006) = 44.36,Coxall and Pearson (2006) = 44.19,Clavigerinella eocanica,6,Coxall and Pearson (2006),4,No data,Macro
Clavigerinella colombiana,47.29,42.96,First recorded occurence date extension Coxall and Pearson (2006) = 47.29. Coxall and Pearson (2006) = 45.95,Coxall and Pearson (2006) = 44.01. Last recorded occurence date extension Coxall and Pearson (2006) = 42.96,Clavigerinella eocanica,6,Coxall and Pearson (2006),4,Coxall et al. (2000),Macro
Clavigerinella eocanica,47.95,34.3,Coxall and Pearson (2006) = 47.95,Coxall and Pearson (2006) = 34.30,Parasubbotina eoclava,6,Coxall and Pearson (2006),4,"Pearson et al. (1993), Coxall et al. (2000)",Macro
Clavigerinella jarvisi,47.15,42.96,First recorded occurence date extension Coxall and Pearson (2006) = 47.15. Coxall and Pearson (2006) = 45.95,Coxall and Pearson (2006) = 44.01. Last recorded occurence date extension Coxall and Pearson (2006) = 42.96,Clavigerinella eocanica,6,Coxall and Pearson (2006),4,Coxall et al. (2000),Macro
Cribrohantkenina inflata,36.4,33.94,Coxall and Pearson (2006) = 36.40,Coxall and Pearson (2006) = 33.94,Hantkenina nanggulanensis,10,Coxall and Pearson (2006),2,Wade and Pearson (2008),Macro
`Dentoglobigerina` eotripartita,47.38,31.36,First recorded occurence date extension Fayolle and Wade (2021) = 47.38. Fayolle and Wade (2021) = 43.80,Wade et al. (2018c) = 32.20. Last recorded occurence date extension Wade et al. (2018c) = 31.36,Acarinina primitiva,2,Wade et al. (2018c),3,Wade and Pearson (2008),Macro
`Dentoglobigerina` tripartita,37.72,11.77,Wade et al. (2021) = 37.72,Wade et al. (2018c) = 11.77,`Dentoglobigerina` eotripartita,2,Wade et al. (2018c),4,Van Eijden and Ganssen (1995),Macro
Dentoglobigerina altispira,21.93,3.13,Wade et al. (2018c) = 21.93,Datum T Dentoglobigerina altispira [Atl] of Raffi et al. (2020) = 3.13,Dentoglobigerina globosa,7,Kennett and Srinivasan (1983),1,Pearson et al. (2001b),Macro
Dentoglobigerina baroemoenensis,30.69,5.36,Wade et al. (2018c) = 30.69,Wade et al. (2018c) = 5.36,Dentoglobigerina larmeui,2,Wade et al. (2018c),3,D. R. M. Stewart unpublished data,Macro
Dentoglobigerina binaiensis,25.2,15.98,Wade et al. (2018c) = 25.20,Datum T Dentoglobigerina binaiensis of Raffi et al. (2020) = 19.09. Last recorded occurence date extension Wade et al. (2018c) = 15.98,Dentoglobigerina sellii,2,Wade et al. (2018c),4,Pearson and Shackleton (1995),Macro
Dentoglobigerina cf. conglomerata,6.46,Living,Lam and Leckie (2020b) = 6.46,Banner and Blow (1960) = 0.00,Dentoglobigerina venezuelana,7,Banner and Blow (1960),3,No data,Macro
Dentoglobigerina galavisi,41.96,22.62,Fayolle and Wade (2021) = 41.96. Wade et al. (2018c) = 40.22,Wade et al. (2018c) = 22.62,Dentoglobigerina pseudovenezuelana,2,Wade et al. (2018c),3,Wade and Pearson (2008),Macro
Dentoglobigerina globosa,27.48,3.13,Wade et al. (2018c) = 27.48,Wade et al. (2018c) = 3.13,Dentoglobigerina globularis,2,Wade et al. (2018c),3,D. R. M. Stewart unpublished data,Macro
Dentoglobigerina globularis,34.37,22.03,Wade et al. (2018c) = 34.37,Datum T Dentoglobigerina globularis of Raffi et al. (2020) = 22.03,Dentoglobigerina galavisi,2,Wade et al. (2018c),"1,3","Biolzi (1983), Pearson et al. (1997b), Wade et al. (2007), Wade and Pearson (2008)",Macro
Dentoglobigerina juxtabinaiensis,19.51,15.12,Wade et al. (2018c) = 19.51,Fox and Wade (2013) = 15.12,Dentoglobigerina binaiensis,2,Fox and Wade (2013),3,No data,Macro
Dentoglobigerina larmeui,31.46,8.1,First recorded occurence date extension Wade et al. (2018c) = 31.46. Wade et al. (2018c) = 28.16,Wade et al. (2018c) = 8.10,Dentoglobigerina galavisi,2,Wade et al. (2018c),3,"Pearson et al. (1997b), Pearson and Wade (2009)",Macro
Dentoglobigerina prasaepis,33.73,24.59,Wade et al. (2018c) = 33.73,Wade et al. (2018c) = 28.91. Last recorded occurence date extension Wade et al. (2018c) = 24.59,Dentoglobigerina taci,2,Wade et al. (2018c),3,D. R. M. Stewart unpublished data,Macro
Dentoglobigerina pseudovenezuelana,47.57,31.67,First recorded occurence date extension Fayolle and Wade (2021) = 47.57. Fayolle and Wade (2021) = 43.80,Wade et al. (2018c) = 31.67,Subbotina yeguaensis,2,Wade et al. (2018c),3,Wade and Pearson (2008),Macro
Dentoglobigerina sellii,32.94,16.28,Wade et al. (2018c) = 32.94,Wade et al. (2018c) = 16.28,Dentoglobigerina tapuriensis,2,Wade et al. (2018c),"1,4","Poore and Matthews (1984), Van Eijden and Ganssen (1995)",Macro
Dentoglobigerina taci,37.69,33.57,Wade et al. (2021) = 37.69,Wade et al. (2018c) = 33.57,Dentoglobigerina galavisi,2,Wade et al. (2018c),1,Moore et al. (2014),Macro
Dentoglobigerina tapuriensis,34.3,23.08,First recorded occurence date extension Wade et al. (2018c) = 34.30. Wade et al. (2018c) = 33.80,Wade et al. (2018c) = 23.08,Dentoglobigerina galavisi,2,Wade et al. (2018c),4,D. R. M. Stewart unpublished data,Macro
Dentoglobigerina venezuelana,33.68,2.21,Wade et al. (2018c) = 33.68,Wade et al. (2018c) = 2.21,Dentoglobigerina prasaepis,2,Wade et al. (2018c),"2,3,4","Poore and Matthews (1984), Gasperi and Kennett (1993), Pearson and Shackleton (1995), Pearson et al. (2001b), Coxall et al. (2007), Wade et al. (2007), Wade and Pearson (2008), Pearson and Wade (2009), Beltran et al. (2014), Moore et al. (2014), Boscolo-Galazzo et al (2021), Liebrand et al. (2024)",Macro
Eoglobigerina edita,65.94,62.59,Olsson et al. (1999) = 65.94,Olsson et al. (1999) = 62.63. Last recorded occurence date extension Olsson et al. (1999) = 62.59,Eoglobigerina eobulloides,2,Olsson et al. (1999),3,No data,Macro
Eoglobigerina eobulloides,66.04,64.61,Datum B Eoglobigerina eobulloides of Huber and Quillévéré (2005) = 66.04,Olsson et al. (1999) = 64.61,Muricohedbergella monmouthensis,2,Olsson et al. (1999),3,"D’Hondt and Zachos (1993), Berggren and Norris (1997)",Macro
Eoglobigerina spiralis,62.94,62.33,First recorded occurence date extension Olsson et al. (1999) = 62.94. Olsson et al. (1999) = 62.63,Olsson et al. (1999) = 62.33,Eoglobigerina edita,2,Olsson et al. (1999),3,No data,Macro
Fohsella fohsi,13.4,11.93,Datum B Fohsella fohsi of Raffi et al. (2020) = 13.40,Datum T Fohsella fohsi of Raffi et al. (2020) = 11.93,Fohsella praefohsi,12,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993), Pearson and Shackleton (1995)",Macro
Fohsella lenguaensis,13.77,6.14,Norris et al. (1993) = 13.77,Datum T Fohsella lenguaensis [Pac] of Raffi et al. (2020) = 6.14,Fohsella peripheroacuta,13,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993)",Macro
Fohsella lobata,13.2,11.93,Datum B Fohsella lobata of King et al. (2020) = 13.20,Datum T Fohsella fohsi of Raffi et al. (2020) = 11.93,Fohsella fohsi,12,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993), Pearson and Shackleton (1995)",Macro
Fohsella paralenguaensis,13.7,9.49,Kennett and Srinivasan (1983) = 13.70,Kennett and Srinivasan (1983) = 9.49,Fohsella lenguaensis,13,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993)",Macro
Fohsella peripheroacuta,14.06,13.53,Datum B Fohsella peripheroacuta of Raffi et al. (2020) = 14.06,Kennett and Srinivasan (1983) = 13.53,Fohsella peripheroronda,13,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993), Pearson and Shackleton (1995)",Macro
Fohsella peripheroronda,21.32,13.91,Norris et al. (1993) = 21.32,Datum T Fohsella peripheroronda of Raffi et al. (2020) = 13.91,Paragloborotalia kugleri,13,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993), Pearson et al. (2001b), Coxall et al. (2007)",Macro
Fohsella praefohsi,13.77,13.2,Datum B Fohsella praefohsi of Raffi et al. (2020) = 13.77,Norris et al. (1993) = 13.20,Fohsella peripheroacuta,12,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993), Pearson and Shackleton (1995)",Macro
Fohsella robusta,13.13,11.93,Datum B Fohsella robusta of Raffi et al. (2020) = 13.13,Datum T Fohsella fohsi of Raffi et al. (2020) = 11.93,Fohsella lobata,12,Kennett and Srinivasan (1983),3,"Keller (1985), Hodell and Vayavananda (1993)",Macro
Globanomalina archeocompressa,66.03,63.77,Olsson et al. (1999) = 66.03,Olsson et al. (1999) = 63.77,Muricohedbergella holmdelensis,13,Olsson et al. (1999),3,No data,Macro
Globanomalina australiformis,56,43.69,Datum B Globanomalina australiformis of TimeScale Creator (2020) = 56.00,Olsson and Hemleben (2006) = 43.69,Globanomalina imitata,13,Olsson et al. (1999),3,No data,Macro
Globanomalina chapmani,61.2,54.27,Olsson et al. (1999) = 61.20,Olsson and Hemleben (2006) = 54.27,Globanomalina ehrenbergi,13,Olsson et al. (1999),3,Olsson et al. (1999),Macro
Globanomalina compressa,64.27,62.06,Datum B Globanomalina compressa of Huber and Quillévéré (2005) = 64.27,Olsson et al. (1999) = 62.06,Globanomalina archeocompressa,13,Olsson et al. (1999),3,Olsson et al. (1999),Macro
Globanomalina ehrenbergi,62.48,60.74,Olsson et al. (1999) = 62.48,Olsson et al. (1999) = 60.74,Globanomalina compressa,13,Olsson et al. (1999),3,No data,Macro
Globanomalina imitata,62.53,56,Datum B Globanomalina imitata of TimeScale Creator (2020) = 62.53,Olsson et al. (1999) = 57.09. Datum B Globanomalina australiformis of TimeScale Creator (2020) = 56.00,Globanomalina planocompressa,13,Olsson et al. (1999),3,No data,Macro
Globanomalina luxorensis,56.61,54.58,Olsson and Hemleben (2006) = 56.61,Olsson and Hemleben (2006) = 54.58,Globanomalina ovalis,13,Olsson and Hemleben (2006),2,Olsson and Hemleben (2006),Macro
Globanomalina ovalis,57.78,56.03,Olsson et al. (1999) = 57.78,Olsson and Hemleben (2006) = 56.03,Globanomalina imitata,13,Olsson et al. (1999),2,No data,Macro
Globanomalina planocompressa,65.89,62.53,Olsson et al. (1999) = 65.89,Olsson et al. (1999) = 63.25. Datum B Globanomalina imitata of TimeScale Creator (2020) = 62.53,Globanomalina archeocompressa,13,Olsson et al. (1999),3,Olsson et al. (1999),Macro
Globanomalina planoconica,58.36,50.58,Datum B Globanomalina planoconica of Huber and Quillévéré (2005) = 58.36,Olsson and Hemleben (2006) = 50.58,Globanomalina chapmani,13,Olsson et al. (1999),3,No data,Macro
Globanomalina pseudomenardii,60.76,57.1,Datum B Globanomalina pseudomenardii of TimeScale Creator (2020) = 60.76,Datum T Globanomalina pseudomenardii of TimeScale Creator (2020) = 57.10,Globanomalina ehrenbergi,13,Olsson et al. (1999),3,Olsson et al. (1999),Macro
Globigerina archaeobulloides,33.8,23.64,Spezzaferri et al. (2018a) = 33.80,Spezzaferri et al. (2018a) = 23.64,Globigerina officinalis,2,Spezzaferri et al. (2018a),1,No data,Macro
Globigerina bulloides,27.61,Living,Spezzaferri et al. (2018a) = 27.61,Kennett and Srinivasan (1983) = 0.00,Globigerina archaeobulloides,2,Kennett and Srinivasan (1983),"2,6","Vergnaud-Grazzini (1976), Durazzi (1981), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globigerina eamesi,25.68,1.98,Kennett and Srinivasan (1983) = 25.68,Kennett and Srinivasan (1983) = 1.98,Globigerina bulloides,2,Kennett and Srinivasan (1983),1,No data,Macro
Globigerina falconensis,18.12,Living,Olsson et al. (2006b) = 18.12,Olsson et al. (2006b) = 0.00,Globigerina bulloides,2,Kennett and Srinivasan (1983),1,"Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Globigerina officinalis,43.16,20.35,Olsson et al. (2006b) = 43.16,Spezzaferri et al. (2018a) = 20.35,Subbotina roesnaesensis,2,Olsson et al. (2006b),1,Pearson et al. (2001a),Macro
Globigerina umbilicata,2.52,0.59,Kennett and Srinivasan (1983) = 2.52,Kennett and Srinivasan (1983) = 0.59,Globigerina bulloides,2,Kennett and Srinivasan (1983),1,No data,Macro
Globigerinatheka barri,43.69,36.31,Premoli Silva et al. (2006) = 43.69,Premoli Silva et al. (2006) = 36.31,Globigerinatheka subconglobata,3,Premoli Silva et al. (2006),1,No data,Macro
Globigerinatheka curryi,43.63,41.26,Premoli Silva et al. (2006) = 43.63,Premoli Silva et al. (2006) = 41.26,Globigerinatheka kugleri,3,Premoli Silva et al. (2006),1,No data,Macro
Globigerinatheka euganea,42.46,40.13,Premoli Silva et al. (2006) = 42.46,Premoli Silva et al. (2006) = 40.13,Globigerinatheka curryi,4,Premoli Silva et al. (2006),1,No data,Macro
Globigerinatheka index,43.42,34.69,Datum B Globigerinatheka index of Huber and Quillévéré (2005) = 43.42,Datum T Globigerinatheka index of TimeScale Creator (2020) = 34.69,Globigerinatheka subconglobata,3,Premoli Silva et al. (2006),1,"Boersma et al. (1979), Pearson and Palmer (1999), Pearson et al. (2001a)",Macro
Globigerinatheka korotkovi,44.03,35.7,Premoli Silva et al. (2006) = 44.03,Premoli Silva et al. (2006) = 35.70,Globigerinatheka subconglobata,3,Premoli Silva et al. (2006),1,No data,Macro
Globigerinatheka kugleri,44.14,37.76,Datum B Globigerinatheka kugleri of Wade et al. (2011) = 44.14,Wade et al. (2021) = 37.76,Globigerinatheka subconglobata,3,Premoli Silva et al. (2006),1,"Boersma et al. (1987), Pearson and Palmer (1999)",Macro
Globigerinatheka luterbacheri,40.22,34.67,Premoli Silva et al. (2006) = 40.22,Premoli Silva et al. (2006) = 34.67,Globigerinatheka euganea,3,Premoli Silva et al. (2006),1,No data,Macro
Globigerinatheka mexicana,44.14,36.05,Premoli Silva et al. (2006) = 44.14,Premoli Silva et al. (2006) = 36.05,Globigerinatheka subconglobata,3,Premoli Silva et al. (2006),1,"Boersma et al. (1987), Wade (2004)",Macro
Globigerinatheka semiinvoluta,37.95,35.89,Datum B Globigerinatheka semiinvoluta of Wade et al. (2011) = 37.95,Datum T Globigerinatheka semiinvoluta of TimeScale Creator (2020) = 35.89,Globigerinatheka mexicana,3,Premoli Silva et al. (2006),1,"Poore and Matthews (1984), Pearson et al. (2001a), Wade and Kroon (2002)",Macro
Globigerinatheka subconglobata,45.88,39.63,First recorded occurence date extension Premoli Silva et al. (2006) = 45.88. Premoli Silva et al. (2006) = 45.19,Premoli Silva et al. (2006) = 39.63,Guembelitrioides nuttalli,3,Premoli Silva et al. (2006),1,Pearson et al. (1993),Macro
Globigerinatheka tropicalis,39.11,34.06,Premoli Silva et al. (2006) = 39.11,Premoli Silva et al. (2006) = 34.06,Globigerinatheka index,3,Premoli Silva et al. (2006),1,No data,Macro
Globigerinella adamsi,0.01,Living,Coxall et al. (2007) = 0.01,Coxall et al. (2007) = 0.00,Globigerinella calida,5,Coxall et al. (2007),"2,3,4","Coxall et al. (2007), Schiebel and Hemleben (2017)",Macro
Globigerinella calida,4.41,Living,Chaisson and Pearson (1997) = 4.41,Chaisson and Pearson (1997) = 0.00,Globigerinella siphonifera,2,Kennett and Srinivasan (1983),"2,3,4","Niebler et al. (1999), Schiebel and Hemleben (2017), Rebotim et al. (2017), Boscolo-Galazzo et al (2021), Lamyman et al. (In prep)",Macro
Globigerinella clavaticamerata,27.88,14.88,Spezzaferri et al. (2018a) = 27.88,Spezzaferri et al. (2018a) = 14.88,Globigerinella navazuelensis,2,Spezzaferri et al. (2018a),4,No data,Macro
